Category: All categories

Week,buy a house: (United States)
2020-03-01,67
2020-03-08,67
2020-03-15,73
2020-03-22,65
2020-03-29,71
2020-04-05,74
2020-04-12,87
2020-04-19,87
2020-04-26,94
2020-05-03,94
2020-05-10,94
2020-05-17,95
2020-05-24,91
2020-05-31,84
2020-06-07,100
2020-06-14,95
2020-06-21,90
2020-06-28,95
2020-07-05,95
2020-07-12,94
2020-07-19,95
2020-07-26,94
2020-08-02,94
2020-08-09,85
2020-08-16,85
2020-08-23,78
2020-08-30,81
2020-09-06,78
2020-09-13,73
2020-09-20,75
2020-09-27,73
2020-10-04,74
2020-10-11,76
2020-10-18,76
2020-10-25,65
2020-11-01,55
2020-11-08,72
2020-11-15,68
2020-11-22,60
2020-11-29,66
2020-12-06,72
2020-12-13,65
2020-12-20,61
2020-12-27,82
2021-01-03,89
2021-01-10,89
2021-01-17,94
2021-01-24,94
2021-01-31,93
2021-02-07,92
2021-02-14,89
2021-02-21,90
2021-02-28,93
2021-03-07,94
2021-03-14,93
2021-03-21,100
2021-03-28,91
2021-04-04,93
2021-04-11,97
2021-04-18,91
2021-04-25,90
2021-05-02,88
2021-05-09,82
2021-05-16,94
2021-05-23,77
2021-05-30,78
2021-06-06,75
2021-06-13,77
2021-06-20,71
2021-06-27,69
2021-07-04,81
2021-07-11,74
2021-07-18,76
2021-07-25,74
2021-08-01,75
2021-08-08,72
2021-08-15,72
2021-08-22,73
2021-08-29,67
2021-09-05,71
2021-09-12,65
2021-09-19,68
2021-09-26,68
2021-10-03,64
2021-10-10,68
2021-10-17,65
2021-10-24,69
2021-10-31,69
2021-11-07,66
2021-11-14,63
2021-11-21,57
2021-11-28,65
2021-12-05,62
2021-12-12,60
2021-12-19,61
2021-12-26,72
2022-01-02,83
2022-01-09,89
2022-01-16,82
2022-01-23,94
2022-01-30,95
2022-02-06,95
2022-02-13,94
2022-02-20,90
2022-02-27,91
2022-03-06,92
2022-03-13,90
2022-03-20,93
2022-03-27,89
2022-04-03,90
2022-04-10,86
2022-04-17,88
2022-04-24,83
2022-05-01,87
2022-05-08,84
2022-05-15,79
2022-05-22,74
2022-05-29,73
2022-06-05,79
2022-06-12,82
2022-06-19,79
2022-06-26,75
2022-07-03,77
2022-07-10,81
2022-07-17,77
2022-07-24,78
2022-07-31,78
2022-08-07,77
2022-08-14,77
2022-08-21,73
2022-08-28,73
2022-09-04,69
2022-09-11,71
2022-09-18,72
2022-09-25,58
2022-10-02,65
2022-10-09,61
2022-10-16,63
2022-10-23,59
2022-10-30,56
2022-11-06,56
2022-11-13,53
2022-11-20,51
2022-11-27,56
2022-12-04,57
2022-12-11,56
2022-12-18,51
2022-12-25,63
2023-01-01,78
2023-01-08,73
2023-01-15,77
2023-01-22,78
2023-01-29,78
2023-02-05,74
2023-02-12,66
2023-02-19,77
2023-02-26,77
2023-03-05,71
2023-03-12,76
2023-03-19,81
2023-03-26,80
2023-04-02,79
2023-04-09,79
2023-04-16,80
2023-04-23,77
2023-04-30,80
2023-05-07,74
2023-05-14,71
2023-05-21,72
2023-05-28,69
2023-06-04,70
2023-06-11,72
2023-06-18,74
2023-06-25,74
2023-07-02,76
2023-07-09,77
2023-07-16,68
2023-07-23,68
2023-07-30,68
2023-08-06,71
2023-08-13,62
2023-08-20,62
2023-08-27,63
2023-09-03,67
2023-09-10,62
2023-09-17,63
2023-09-24,60
2023-10-01,60
2023-10-08,61
2023-10-15,60
2023-10-22,64
2023-10-29,60
2023-11-05,61
2023-11-12,57
2023-11-19,54
2023-11-26,64
2023-12-03,63
2023-12-10,60
2023-12-17,50
2023-12-24,60
2023-12-31,69
2024-01-07,73
2024-01-14,68
2024-01-21,74
2024-01-28,77
2024-02-04,70
2024-02-11,65
2024-02-18,73
2024-02-25,69
2024-03-03,78
2024-03-10,73
2024-03-17,74
2024-03-24,65
2024-03-31,71
2024-04-07,71
2024-04-14,73
2024-04-21,72
2024-04-28,70
2024-05-05,67
2024-05-12,67
2024-05-19,66
2024-05-26,64
2024-06-02,60
2024-06-09,68
2024-06-16,66
2024-06-23,70
2024-06-30,62
2024-07-07,72
2024-07-14,75
2024-07-21,64
2024-07-28,64
2024-08-04,63
2024-08-11,65
2024-08-18,67
2024-08-25,63
2024-09-01,64
2024-09-08,60
2024-09-15,62
2024-09-22,60
2024-09-29,62
2024-10-06,59
2024-10-13,63
2024-10-20,63
2024-10-27,62
2024-11-03,66
2024-11-10,67
2024-11-17,67
2024-11-24,62
2024-12-01,61
2024-12-08,59
2024-12-15,56
2024-12-22,60
2024-12-29,76
2025-01-05,74
2025-01-12,78
2025-01-19,77
2025-01-26,75
2025-02-02,77
2025-02-09,68
2025-02-16,80
2025-02-23,81
2025-03-02,83
